ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	LCSC Assembly
"1"	"10uF"	"C4"	"0603"	"1"	"CL10A106MQ8NNNC"	"SAMSUNG"	"LCSC"	"C1691"	""
"2"	"100nf"	"C9,C8,C1,C2"	"0603"	"4"	"TCC0603COG560J500CT"	"CCTC"	"LCSC"	"C344184"	""
"3"	"BMI088"	"U2"	"LGA-16-L4.5-W3.0-P0.50_TL"	"1"	"BMI088"	"Bosch Sensortec"	"LCSC"	"C194919"	"Yes"
"4"	"SMALL_SERVO"	"M1,M2,M3"	"1X03"	"3"	""	""	""	""	""
"5"	"CJ78M05_C9070"	"U3"	"TO-252-3_L6.5-W5.8-P4.58-BR"	"1"	"CJ78M05"	"CJ"	"LCSC"	"C9070"	"Yes"
"6"	"RGB_LED"	"LED1"	"5050 SMD LED"	"1"	"RGB_LED"	""	""	""	""
"7"	"10k"	"R16,R15"	"0603"	"2"	"0603WAF4700T5E"	"UniOhm"	"LCSC"	"C23179"	"Yes"
"8"	"470"	"R6,R3,R2"	"0805"	"3"	"RS-05K471JT"	"FH"	"LCSC"	"C119076"	""
"9"	"K3-2235S-F1"	"SW2"	"SW-SMD_K3-2235S-F1"	"1"	"K3-2235S-F1"	"Rectangular Connectors - Contacts"	"LCSC"	"C223858"	""
"10"	"40 ohm"	"R1"	"0805"	"1"	"0805W8F402JT5E"	"UniOhm"	"LCSC"	"C17679"	"Yes"
"11"	"1uF"	"C3"	"0603"	"1"	"UMK107AB7105KA-T"	"TAIYO YUDEN"	"LCSC"	"C105174"	""
"12"	"YS-SBZ1230"	"BUZZER1"	"BUZ-SMD_L12.0-W12.0-P10.65-LS12.0"	"1"	"YS-SBZ1230"	"Fengming"	"LCSC"	"C409829"	""
"13"	"BMP280"	"U1"	"SENSOR-TH_BMP280-BL"	"1"	"BMP280"	"Bosch"	"LCSC"	"C83291"	"Yes"
"14"	"1 ohm"	"R12,R10,R8,R5,R4"	"0805"	"5"	"CR0805F81R00G"	"LIZ"	"LCSC"	"C101537"	""
"15"	"CON_TERMINAL_BLOCK_02-5MM"	"J4,J3,J2,J1,J5,J6"	"TERMINAL_BLOCK_2P_5"	"6"	"?"	""	""	""	""
"16"	"TEENSY_3.6_DIL+4"	"2"	"TEENSY_3.6_DIL+4"	"1"	""	""	""	""	""
"17"	"DMN3051L-7"	"Q8,Q7,Q5"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"3"	"DMN3051L-7"	"Diodes Incorporated"	"LCSC"	"C155348"	"Yes"
