ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	LCSC Assembly
"1"	"header pins"	"HEADER"	"HEADER PINS"	"1"	""	""	""	""	""
"2"	"10uF"	"C4"	"0603"	"1"	"CL10A106MQ8NNNC"	"SAMSUNG"	"LCSC"	"C1691"	""
"3"	"BMP388"	"U2"	"ADAFRUIT BMP388 PRESS/TEMP  SENSOR PCB LIB FOR KFLMIAMI420 V1"	"1"	"Adafruit"	"Adafruit"	"Adafruit"	"3966"	""
"4"	"BUZZERPTH-KIT"	"SG1"	"BUZZER-12MM-KIT"	"1"	""	""	""	""	""
"5"	"CJ78M05_C9070"	"U3"	"TO-252-3_L6.5-W5.8-P4.58-BR"	"1"	"CJ78M05"	"CJ"	"LCSC"	"C9070"	"Yes"
"6"	"RGB_LED"	"LED1"	"5050 SMD LED"	"1"	"RGB_LED"	""	""	""	""
"7"	"470"	"R3,R1"	"0805"	"2"	"RS-05K471JT"	"FH"	"LCSC"	"C119076"	""
"8"	"K3-2235S-F1"	"SW2"	"SW-SMD_K3-2235S-F1"	"1"	"K3-2235S-F1"	"Rectangular Connectors - Contacts"	"LCSC"	"C223858"	""
"9"	"40 ohm"	"R6"	"0805"	"1"	"0805W8F402JT5E"	"UniOhm"	"LCSC"	"C17679"	"Yes"
"10"	"1uF"	"C3"	"0603"	"1"	"UMK107AB7105KA-T"	"TAIYO YUDEN"	"LCSC"	"C105174"	""
"11"	"MOSFET-TO220V"	"Q5,Q1"	"TO220V"	"2"	"?"	""	""	""	""
"12"	"1 ohm"	"R9,R10,R2,R4"	"0805"	"4"	"CR0805F81R00G"	"LIZ"	"LCSC"	"C101537"	""
"13"	"CON_TERMINAL_BLOCK_02-5MM"	"J1,J4,J2"	"TERMINAL_BLOCK_2P_5"	"3"	"?"	""	""	""	""
"14"	"TEENSY_3.6_DIL+4"	"2"	"TEENSY_3.6_DIL+4"	"1"	""	""	""	""	""
